matchup ID,team ID,Team,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,260,262,264,266,268,270,272,274,276,278,280,282,284,286,290,294,298,302,306,310,314,318,322,326,330,334,338,342,346,350,354,358,362,366,370,374,378,382,386,390,394,398,402,406,410,414,418,422,426,430,434,438,442,446,450,454,458,462
0,8,Ran Diddle,0,14.6,14.6,14.6,14.6,14.6,14.6,14.6,14.6,16.6,16.72,17.44,18.28,23.6,23.6,23.6,23.6,24.4,24.4,24.4,24.3,24.3,25.0,25.0,24.8,24.8,24.4,24.44,26.44,26.44,26.44,26.44,27.74,27.74,27.74,27.74,27.74,27.74,27.74,28.54,28.54,28.74,28.74,28.74,28.74,28.74,28.74,28.64,28.64,28.64,28.64,28.64,28.64,28.64,28.64,28.64,28.64,28.64,28.64,28.64,28.64,28.64,31.94,31.94,31.94,31.94,31.94,31.94,32.64,32.64,32.64,32.64,32.64,32.64,32.64,32.64,32.64,32.64,33.88,33.88,34.18,34.18,34.58,34.58,34.58,35.68,34.88,34.88,34.88,34.88,34.88,38.08,38.08,38.08,38.08,38.08,39.08,38.58,38.58,38.58,38.58,38.58,38.58,38.58,39.28,39.28,39.28,36.28,36.28,36.36,36.28,36.28,36.28,36.28,36.28,36.28,36.28,35.28,35.28,35.28,35.28,35.28,36.88,37.32,38.32,38.32,39.24,39.24,39.24,39.64,44.32,44.32,44.32,44.32,44.32,44.32,44.32,44.32,44.32,44.32,45.42,45.42,45.42,45.42,46.38,46.38,45.28,46.04,46.2,46.2,46.2,46.2,46.2,51.4,51.4,51.4,51.4,51.4,51.4,51.4,51.4,51.4,51.4,51.4,49.4,49.4,49.4,49.4,49.4,49.4,49.4,49.4,49.4,52.0,53.2,53.2,53.2,53.2,53.2,53.2,53.2,53.2,53.2,53.2,54.1,54.1,54.1,54.1,54.1,54.1,54.1,54.1,54.1,60.9,60.9,60.9,60.9,60.9,60.9,60.9,60.9,60.9,60.9,60.9,60.9,60.9,60.9,60.9,60.9,60.9,60.9,60.9,60.9,60.9,60.9,60.9,60.9,60.9,62.8,62.8,62.8,62.8,62.8,62.8,62.8,62.8,62.8,62.8,62.8,62.8,62.8,64.3,64.3,64.3,64.3,64.3,64.3,64.3,64.3,64.3,64.3,64.3,64.3,64.3,64.3,64.3,64.3,64.3,64.3,64.3,64.3,64.3,64.3,64.3,64.3,64.3,64.3,64.3,64.3,69.4,69.4,69.4,69.4,69.4,69.4,69.4,69.4,69.4,71.0,72.4,72.4,72.4,72.4,72.4,72.4,72.4,72.4,72.4,72.4,72.4,72.4,72.4,72.4,72.4,72.4,72.4,72.4,72.4,72.4,72.4,72.4,72.4,72.4,72.4,72.4,72.4,72.4,72.4,72.4,72.4,72.4,72.4,72.4,72.4,72.4,72.4,72.4,72.4,72.4,72.4,72.4,72.4,72.4,72.4,72.4,72.4,72.4
1,4,Alugalug KAT ,0,35.2,35.2,35.2,35.2,35.2,35.2,35.2,35.2,35.2,35.1,35.1,35.1,35.1,35.1,35.1,35.1,35.1,35.1,35.1,35.1,33.1,33.1,33.1,33.1,34.1,34.1,32.1,32.1,32.1,32.1,32.1,32.1,32.1,32.1,32.1,32.1,32.1,32.1,32.1,33.4,33.4,33.4,33.4,33.4,34.4,34.4,34.4,34.4,34.4,34.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,38.8,38.8,39.9,39.9,39.9,39.9,39.9,39.9,39.9,39.9,39.9,39.9,39.9,40.9,40.9,40.9,40.9,40.9,40.9,40.9,40.9,40.9,40.9,40.9,40.9,40.9,40.9,41.5,41.5,41.5,41.5,43.5,43.5,43.5,43.5,43.5,43.5,43.5,45.5,45.5,45.5,45.5,45.5,45.5,45.5,45.5,45.5,45.5,46.5,46.5,46.5,46.5,46.5,46.5,46.5,46.5,46.5,52.6,52.6,52.6,54.1,54.3,54.3,54.3,54.3,54.3,54.3,52.3,52.3,52.3,52.3,52.3,52.3,59.6,59.6,59.6,59.6,59.6,59.6,59.6,59.6,59.6,59.6,59.6,59.6,59.6,59.6,59.6,59.6,59.6,59.6,59.6,59.6,61.5,61.5,61.5,61.5,61.5,61.5,61.5,61.5,62.0,62.0,62.0,62.0,62.0,62.0,62.0,63.04,63.04,63.04,63.04,63.04,63.04,63.04,63.04,64.24,65.64,65.84,65.84,65.84,65.84,65.84,65.84,65.84,65.84,65.84,65.84,65.84,65.84,66.32,66.32,67.02,73.06,73.06,73.06,73.06,73.06,73.06,73.06,73.06,73.06,73.06,73.42,73.42,79.38,79.38,79.38,79.38,79.38,79.38,79.38,79.38,79.38,79.38,79.38,80.76,81.94,81.94,82.24,82.24,82.24,82.24,82.24,82.24,82.24,82.24,82.24,82.24,82.24,82.24,84.56,84.56,84.56,84.56,84.56,84.56,84.56,84.56,84.56,84.56,84.56,84.56,84.56,84.56,84.56,84.56,84.96,85.06,85.16,85.16,99.3,99.3,99.94,100.5,102.08,103.14,103.64,103.64,103.64,103.64,103.64,103.64,103.64,104.14,104.14,104.14,104.14,104.14,104.14,104.14,104.14,104.14,104.14,104.14,104.14,104.14,104.14,104.14,104.14,104.14,104.14,104.14,104.14,104.14,104.14,104.14,104.14,104.14,104.14,104.14,104.14,104.14,104.14,104.14,104.14,104.14,104.14,105.74,105.74,105.74,105.74,105.74,105.74,105.74,105.74,105.74,105.74,105.74
2,12,Randall's Randies,0,28.68,28.68,28.68,28.68,29.08,29.08,29.28,29.28,27.28,27.28,27.28,27.28,27.28,27.28,27.28,27.28,28.48,29.38,29.96,30.66,28.66,32.46,33.36,33.92,33.92,33.92,34.64,35.98,36.08,36.08,36.88,37.08,36.88,36.88,36.88,36.58,36.58,36.58,36.58,36.58,36.58,36.58,36.58,36.58,36.58,36.58,36.58,36.58,38.06,38.54,38.58,38.58,38.58,38.58,38.58,38.58,38.58,38.58,38.58,38.58,38.58,38.58,38.58,38.58,39.88,39.88,39.88,39.88,39.88,39.88,40.88,40.88,42.02,43.04,44.44,44.92,46.22,46.46,46.46,46.46,46.46,46.46,46.46,46.46,46.46,46.46,46.46,46.86,46.86,48.36,49.26,49.46,49.46,50.36,50.36,50.44,51.08,52.48,52.88,52.88,52.88,53.44,53.44,53.8,53.8,53.8,53.8,53.8,53.8,53.8,54.5,54.6,54.6,54.6,54.6,54.6,57.7,58.9,58.9,59.7,60.2,63.22,65.98,65.98,65.98,65.98,65.98,65.98,64.98,64.98,64.98,64.98,65.98,65.98,65.98,65.98,66.18,66.98,67.18,67.18,67.18,67.18,67.86,68.22,71.62,76.22,76.58,76.58,76.58,76.58,76.58,76.58,76.58,76.58,76.58,76.58,76.58,76.58,76.58,76.58,76.58,76.58,76.58,76.58,76.58,76.58,76.58,76.58,76.58,76.58,76.58,76.58,76.58,76.58,76.58,76.58,76.58,76.58,76.58,76.58,76.58,76.58,76.58,76.58,76.58,76.58,76.58,76.58,76.58,76.58,76.58,76.58,76.58,76.58,76.58,76.58,76.58,76.58,76.58,76.58,76.58,76.58,76.58,76.58,76.58,76.58,76.58,76.58,76.58,76.58,76.58,76.58,76.58,76.58,76.58,76.58,76.58,76.58,76.58,76.58,76.58,76.58,76.58,76.58,76.58,76.58,76.58,76.58,76.58,76.58,76.58,76.58,76.58,76.58,76.58,76.58,76.58,76.58,76.58,76.58,76.58,76.58,76.58,76.58,76.58,76.58,76.58,76.58,76.58,76.58,76.58,76.58,76.58,76.58,76.58,76.58,76.58,76.58,76.58,76.58,76.58,76.58,76.58,76.58,76.58,76.58,76.58,76.58,76.58,76.58,76.58,76.58,80.58,80.58,80.58,80.58,80.58,80.58,80.58,80.58,80.58,80.58,80.58,80.58,80.58,80.58,80.58,80.58,80.58,80.58,80.58,80.58,80.58,80.58,80.58,80.58,80.58,80.58,80.58,80.58,80.58,80.58,80.58,80.58,80.58,80.58,80.58,80.58,80.58,80.58,80.58,80.58,80.58,80.58,80.58,80.58
3,2,Biggy Maliggy,0,19.4,19.4,19.4,19.4,19.4,19.4,19.4,20.1,20.1,20.1,24.8,24.8,31.9,31.9,31.9,31.9,31.9,31.9,31.9,31.9,31.9,31.9,31.9,32.9,32.9,32.9,32.9,32.9,33.6,35.1,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,37.4,37.8,37.8,37.8,37.8,37.8,37.9,37.9,37.9,37.9,37.9,37.9,37.9,37.9,37.9,37.9,37.9,37.9,37.9,37.9,37.9,37.9,37.9,37.9,37.9,37.9,38.2,40.2,40.2,40.2,40.2,40.2,40.2,40.2,40.2,40.2,40.2,40.2,40.2,40.2,40.2,40.2,40.2,40.2,40.2,40.2,40.8,40.7,42.6,42.7,42.7,42.7,42.7,42.7,42.7,42.7,42.7,42.7,42.7,42.7,42.7,42.7,42.7,42.7,42.7,42.7,42.7,42.7,44.7,44.7,44.7,44.7,44.7,44.7,45.7,45.7,45.7,45.7,53.4,53.4,55.4,55.4,55.6,57.1,57.5,57.5,58.7,58.7,58.7,58.7,58.7,58.7,58.7,60.3,60.3,60.3,58.3,69.2,71.2,71.2,71.2,71.2,71.2,71.2,71.2,71.2,71.2,71.2,71.2,71.2,71.2,73.2,73.2,73.2,73.2,73.2,73.2,73.2,73.2,73.2,73.2,73.2,73.2,73.2,76.2,76.2,76.2,76.2,76.2,76.2,76.2,76.2,76.6,77.3,77.3,77.3,77.3,77.3,77.3,77.3,77.3,77.3,79.2,80.7,80.7,80.7,80.7,80.7,80.7,80.7,80.7,81.1,81.1,81.1,81.1,81.1,81.1,81.1,81.1,81.1,81.1,81.1,82.2,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,83.5,83.5,83.5,83.5,84.1,84.6,84.6,84.6,85.6,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.3,88.3,91.5,91.5,92.4,92.4,92.4,92.4,92.4,92.4,92.4,92.4,92.3,92.3,92.3,92.3,92.3,92.3,110.1,110.1,110.1,110.1,110.1,110.1,110.1,110.1,110.1,110.1,110.1,110.1,110.1,110.1,110.1,110.1,111.5,111.5,111.5,111.5,111.5,111.5,111.5,111.5,111.5,111.5,113.1,113.1,113.1,114.5,114.5,114.5,116.3,116.58,116.58,116.58,116.58,116.58,116.58,116.58,116.58,116.58,116.58,128.94
4,1,The Randall Patrol,0,10.7,10.7,10.7,10.7,10.7,10.7,10.7,12.6,12.6,12.6,12.6,12.6,12.6,12.6,13.5,13.7,14.0,14.2,15.5,15.5,15.5,16.9,16.9,16.9,16.9,16.9,16.9,16.9,16.9,16.9,16.9,16.9,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,26.3,26.3,28.8,28.8,28.8,28.8,28.8,28.8,28.8,28.8,28.8,28.8,28.8,28.8,28.8,28.8,28.8,28.8,28.8,28.8,28.8,28.8,28.8,28.8,29.4,29.4,29.4,29.4,29.4,29.4,39.4,39.4,39.7,39.7,39.7,39.7,39.7,39.7,39.7,39.7,39.7,39.7,39.7,39.7,39.7,39.7,39.7,39.7,39.7,39.7,39.7,42.2,42.2,42.2,42.2,42.2,42.2,42.2,42.2,42.2,42.2,42.2,42.4,42.4,42.4,42.4,42.4,42.4,42.4,42.4,42.4,42.4,42.5,42.5,42.5,42.5,42.5,42.5,43.8,43.8,43.8,43.8,43.8,47.4,47.4,47.4,47.4,47.4,47.4,47.4,47.4,47.4,47.4,47.4,47.4,47.4,47.4,47.6,48.8,48.8,49.0,50.92,50.92,54.92,54.92,54.92,54.92,54.92,54.92,54.92,54.92,54.92,54.92,52.92,52.92,52.92,52.92,52.92,52.92,52.92,52.92,52.92,52.92,52.92,63.0,64.68,64.68,64.68,64.68,70.24,70.24,70.24,70.24,70.44,70.24,70.24,70.24,70.24,70.24,70.24,70.24,70.24,70.24,70.24,70.24,67.24,66.24,66.24,66.14,66.14,66.14,66.14,66.14,66.14,66.14,66.7,66.7,66.98,66.98,66.98,64.98,64.98,64.98,64.98,64.98,64.98,66.38,69.4,69.4,69.4,69.4,69.4,70.1,70.1,70.1,70.1,70.1,70.1,70.1,70.1,70.1,70.1,70.1,70.1,70.1,70.1,69.1,69.1,69.1,69.1,69.1,69.1,69.0,69.5,69.5,69.5,69.5,69.5,69.5,69.5,69.5,69.5,69.5,69.5,69.5,69.5,70.9,70.9,70.9,70.9,70.9,70.9,70.9,78.78,78.98,78.98,83.9,83.9,83.9,83.9,83.9,83.9,83.9,84.9,84.9,84.9,84.9,84.9,84.9,84.9,84.9,84.9,84.9,84.9,84.9,84.9,84.9,84.9,84.9,84.9,84.9,84.9,84.9,84.9,84.9,84.9,84.9,84.9,84.9,84.9,84.9,84.9,84.9,84.9,84.9,84.9,84.9,84.9,84.9,87.2,87.2,87.2,87.2,88.1,88.1,88.1,88.1,88.1,88.1,88.1,93.1
