matchup ID,team ID,Team,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,260,262,264,266,268,270,272,274,276,278,280,282,284,286,290,294,298,302,306,310,314,318,322,326,330,334,338,342,346,350,354,358,362,366,370,374,378,382,386,390,394,398,402,406,410,414,418,422,426,430,434,438,442,446,450,454,458,462
5,7,Sausage Brainᴿᴰ,0,23.88,23.88,24.98,24.98,25.08,25.08,26.64,26.92,27.68,27.68,30.02,30.02,34.26,34.26,34.26,34.26,35.26,35.26,36.46,36.46,36.46,36.46,36.46,36.46,36.46,36.46,36.46,36.46,36.46,36.46,37.66,37.76,37.76,38.36,38.46,38.46,38.46,38.62,38.62,38.62,38.62,38.62,38.62,38.98,43.06,43.06,43.06,43.06,47.26,48.96,48.96,48.96,48.96,48.96,48.96,48.96,48.96,48.96,48.96,48.96,48.96,48.96,50.26,50.26,50.26,50.86,51.14,51.24,51.24,49.24,49.24,49.24,51.84,53.44,53.94,55.84,55.84,55.84,55.84,55.84,55.84,55.84,55.84,55.84,57.18,61.88,63.36,63.36,63.64,65.54,65.54,65.54,65.54,65.54,65.54,65.54,65.54,65.54,65.54,65.54,65.54,65.54,65.54,65.54,65.54,65.54,65.54,65.54,65.54,65.54,65.54,65.54,65.74,66.94,66.94,66.94,71.42,71.42,71.42,71.42,71.42,71.42,71.42,71.42,81.32,71.42,71.42,71.42,72.42,73.12,73.12,73.56,76.06,76.06,76.06,81.82,81.82,81.82,81.82,81.82,81.82,81.82,84.02,84.82,84.82,84.92,84.92,84.92,84.82,84.82,84.82,84.82,84.82,86.82,86.82,86.82,86.82,86.82,86.82,86.82,86.82,86.82,86.82,86.82,86.82,86.82,86.82,86.82,86.82,86.82,86.82,86.82,86.82,86.82,86.82,86.82,86.82,86.82,86.82,86.82,86.82,86.82,86.82,86.82,86.82,86.82,86.82,86.82,86.82,86.82,86.82,86.82,86.82,86.82,86.82,86.82,86.82,86.82,86.82,86.82,86.82,86.82,86.82,86.82,86.82,86.82,86.82,86.82,86.82,86.82,86.82,86.82,86.82,86.82,86.82,86.82,86.82,86.82,86.82,86.82,86.82,86.82,86.82,86.82,86.82,86.82,86.82,86.82,86.82,86.82,86.82,86.82,86.82,86.82,86.82,86.82,86.82,86.82,86.82,86.82,86.82,86.82,86.82,86.82,86.82,86.82,86.82,86.82,86.82,86.82,86.82,86.82,86.82,86.82,86.82,86.82,86.82,86.82,86.82,86.82,86.82,86.82,86.82,86.82,86.82,86.82,86.82,86.82,86.82,86.82,86.82,86.82,102.02,102.02,102.02,103.02,103.02,103.02,103.02,103.02,103.02,104.02,104.02,106.02,106.82,108.82,108.82,111.92,111.92,111.92,110.92,108.92,110.02,110.02,112.62,112.62,112.62,112.62,112.92,113.12,113.12,113.12,113.12,113.12,113.12,113.12,113.12,113.12,113.12,113.12,113.12,113.12,113.12,113.12,113.12,113.12
0,5,Tub Girl's Tub Scrubbers,0,52.3,52.3,52.3,54.4,54.4,54.4,54.4,54.96,59.68,59.68,61.68,61.68,61.78,62.18,57.18,57.18,57.18,56.18,56.18,56.18,56.18,56.18,56.18,56.18,56.18,56.18,56.18,56.18,56.18,56.18,57.18,57.18,57.34,57.62,57.82,57.82,59.12,59.12,61.32,61.32,61.62,63.62,64.72,64.72,64.72,64.72,64.72,65.52,65.52,65.52,65.52,65.52,65.52,65.52,65.52,65.52,65.52,65.52,65.52,65.52,65.72,65.82,65.82,64.82,64.82,64.82,64.82,64.82,64.82,64.82,64.82,64.82,64.82,64.82,65.42,70.82,72.12,72.12,72.12,72.12,72.12,72.12,72.12,72.12,72.36,72.64,76.88,76.88,79.28,79.28,79.28,79.68,79.58,80.78,82.08,82.08,82.08,82.08,82.08,87.0,87.0,87.0,87.0,88.3,88.3,88.3,88.3,88.3,88.3,88.8,88.8,88.8,88.8,88.8,84.8,86.5,85.5,85.5,85.5,85.5,85.5,85.5,85.5,85.5,85.5,85.5,85.5,85.5,85.5,85.5,85.5,87.6,87.6,87.6,87.6,87.6,87.6,87.6,87.6,87.6,87.6,87.6,87.6,87.6,87.6,89.9,90.22,90.22,90.22,90.22,90.12,90.12,90.12,90.12,92.72,92.72,92.72,92.72,92.72,92.72,92.72,92.72,92.72,92.72,92.72,92.72,92.72,92.72,92.72,92.72,92.72,92.72,92.72,92.72,92.72,92.72,92.72,92.72,92.72,92.72,92.72,92.72,92.72,92.72,92.72,92.72,92.72,92.72,92.72,92.72,92.72,92.72,92.72,92.72,92.72,92.72,92.72,92.72,92.72,92.72,92.72,92.72,92.72,92.72,92.72,92.72,92.72,92.72,92.72,92.72,92.72,92.72,92.72,92.72,92.72,92.72,92.72,92.72,92.72,92.72,92.72,92.72,92.72,92.72,92.72,92.72,92.72,92.72,92.72,92.72,92.72,92.72,92.72,92.72,92.72,92.72,92.72,92.72,92.72,92.72,92.72,92.72,92.72,92.72,92.72,92.72,92.72,92.72,92.72,92.72,92.72,92.72,92.72,92.72,92.72,92.72,92.72,92.72,95.32,95.32,95.32,95.32,95.32,95.32,103.22,105.22,105.22,105.22,105.22,105.22,105.22,105.22,105.22,105.22,105.22,105.22,105.22,105.22,105.22,105.22,105.22,105.22,105.22,105.22,105.22,105.22,105.22,105.22,105.22,105.22,105.22,105.22,105.22,105.22,105.22,105.22,105.22,105.22,105.22,105.22,105.22,105.22,105.22,105.22,107.82,107.82,107.82,107.82,107.82,107.82,107.82,107.82,107.82,107.82,107.82,118.22
1,6,Attorney Generals,0,21.8,21.8,21.8,21.8,21.8,21.8,21.8,21.8,21.8,21.8,21.8,21.8,21.8,21.8,21.8,21.8,21.8,21.8,21.8,21.8,21.8,21.8,21.8,21.8,21.8,21.8,21.8,21.8,21.8,21.8,21.8,21.8,21.8,21.8,21.8,21.8,23.3,23.3,23.3,23.3,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.2,25.2,25.2,25.2,25.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,27.0,27.1,27.1,27.1,27.1,27.1,28.0,29.6,29.6,29.6,29.6,29.6,29.6,29.6,29.6,29.6,29.6,29.6,29.6,29.6,29.6,29.9,30.2,30.2,30.2,30.7,30.7,30.7,30.7,30.7,30.7,30.7,30.7,30.7,30.7,30.7,30.7,30.7,30.7,30.7,30.7,30.7,30.7,30.7,30.7,30.7,30.7,30.7,30.7,30.7,30.7,30.7,30.7,30.7,30.7,41.7,41.7,41.9,42.3,42.3,40.3,40.3,40.3,40.3,40.3,40.3,40.3,40.3,40.3,40.8,40.8,40.8,40.8,40.8,40.8,40.8,40.8,40.8,40.8,40.8,40.8,40.8,40.8,40.8,40.8,40.8,40.8,41.2,41.2,44.2,44.2,44.2,44.2,44.2,44.2,44.2,44.2,44.2,47.5,47.5,47.5,55.2,56.0,56.0,54.0,54.0,54.0,54.0,53.8,55.5,55.5,55.5,56.3,56.3,56.3,56.3,56.3,56.3,56.3,56.3,56.3,56.3,56.3,56.3,56.3,56.3,56.3,56.3,56.3,56.3,56.3,56.3,56.3,56.3,56.3,56.3,56.3,56.3,56.3,56.3,56.3,56.3,56.3,56.3,56.3,57.7,57.7,57.7,57.7,57.7,57.7,65.2,65.2,65.2,65.2,66.4,67.8,71.9,71.9,71.9,71.9,71.9,75.6,76.5,78.5,82.98,83.02,83.02,83.02,85.78,85.78,85.78,85.78,85.78,85.78,85.78,85.78,85.78,85.78,85.78,86.22,86.58,86.58,86.58,86.58,87.46,87.46,89.1,89.1,89.1,89.1,89.54,89.86,89.86,89.86,89.86,89.56,89.56,89.56,89.56,89.56,89.56,89.56,89.56,89.56,89.56,89.56,89.56,89.56
2,9,Inhumane Texan Koch’n,0,38.38,39.58,40.82,41.82,42.18,42.18,42.18,42.18,42.18,42.18,42.18,42.18,42.18,42.18,42.18,42.98,43.02,43.02,44.82,44.82,51.12,51.12,51.12,52.22,52.22,52.22,52.22,52.22,52.86,52.86,50.86,50.86,50.86,50.86,50.86,50.86,50.56,50.56,51.76,53.54,53.86,54.06,54.06,54.06,53.96,53.96,53.96,53.96,53.96,53.96,53.96,53.96,53.96,53.96,53.96,53.96,57.76,57.86,58.46,59.36,59.36,59.36,60.1,60.1,59.3,59.5,60.34,60.34,60.64,60.64,60.3,60.3,60.3,60.2,60.3,59.3,59.3,59.9,59.9,59.9,59.9,59.9,59.9,59.9,61.38,61.38,61.74,61.74,61.7,62.0,62.48,66.12,66.22,66.22,66.62,66.42,66.42,66.42,66.62,66.62,70.86,70.86,70.86,78.06,78.06,78.06,78.06,78.46,78.46,79.72,79.72,80.72,80.22,80.22,80.22,79.22,79.22,79.22,79.22,79.22,79.22,79.22,81.02,81.02,81.02,81.02,79.02,79.02,79.02,79.02,79.02,79.02,79.02,79.02,79.02,79.02,79.02,78.72,80.12,80.12,80.12,80.12,80.12,80.12,80.12,80.12,80.12,80.12,80.12,80.12,80.12,80.12,80.12,80.12,80.12,80.12,80.12,80.12,80.12,80.12,80.12,80.12,80.12,80.12,80.12,80.12,80.12,80.12,80.12,80.12,80.12,80.12,80.12,80.12,80.12,80.12,80.12,80.12,80.12,80.12,80.12,80.12,80.12,80.12,80.12,80.12,80.12,80.12,80.12,80.12,80.12,80.12,80.12,80.12,80.12,80.12,80.12,80.12,80.12,80.12,80.12,80.12,80.12,80.12,80.12,80.12,80.12,80.12,80.12,80.12,80.12,80.12,80.12,80.12,80.12,80.12,80.12,80.12,80.12,80.12,80.12,80.12,80.12,80.12,80.12,80.12,80.12,80.12,80.12,80.12,80.12,80.12,80.12,80.12,80.12,80.12,80.12,80.12,80.12,80.12,80.12,80.12,80.12,80.12,80.12,80.12,80.12,80.12,80.12,80.12,80.12,80.12,80.12,80.12,80.12,80.12,80.12,80.12,80.12,80.12,80.12,80.12,80.12,80.12,80.12,80.12,80.12,80.12,80.12,80.12,80.12,80.12,80.12,80.12,80.12,80.12,80.12,80.12,80.12,80.12,80.12,80.12,80.12,80.12,80.12,80.12,80.12,80.12,80.12,80.12,80.12,80.12,80.12,80.12,80.12,80.12,80.12,80.12,80.12,80.12,80.12,80.12,80.12,80.12,83.02,83.02,83.02,83.02,83.02,83.72,83.72,84.92,84.92,84.92,84.92,87.22
3,3, JNCO JEAN GENIEᴿᴰ,0,15.0,15.7,15.9,17.3,17.3,17.3,17.3,17.3,17.3,18.6,18.6,18.6,18.6,18.6,18.6,21.1,21.7,21.7,21.7,21.7,21.7,21.7,21.7,21.7,21.7,21.7,21.7,21.7,24.1,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,25.9,25.9,25.9,25.9,25.9,25.9,25.9,25.9,25.9,25.9,25.9,25.9,25.9,25.9,25.9,25.9,25.9,25.9,26.1,26.4,26.5,26.5,26.5,26.5,26.5,26.5,29.1,29.8,29.8,29.8,29.8,30.0,30.0,30.0,30.0,30.0,30.0,31.1,31.3,31.6,31.6,31.6,31.6,31.6,31.6,31.6,31.6,31.6,31.6,31.6,32.5,32.6,32.6,33.6,33.6,33.6,36.3,36.3,36.3,38.4,51.2,51.2,51.2,51.2,51.2,51.2,51.2,51.2,51.2,51.2,51.4,51.6,51.6,51.6,51.6,51.6,51.6,51.6,51.6,51.6,51.6,51.6,51.6,51.6,51.6,51.6,51.6,52.1,53.3,55.2,55.2,55.2,55.2,53.4,53.4,53.4,53.4,53.4,53.4,53.4,53.4,53.4,53.4,53.4,53.4,53.4,53.4,53.4,53.4,53.4,53.4,53.4,53.6,53.6,53.6,53.6,53.6,53.6,53.6,53.6,53.6,53.92,55.72,55.92,61.56,61.56,61.56,72.56,72.56,72.56,72.56,72.56,72.56,72.16,72.16,73.46,73.7,73.7,73.7,73.9,74.46,74.86,74.86,75.14,75.5,79.94,79.94,79.94,79.94,79.94,79.94,79.94,79.94,81.74,81.74,81.74,81.74,81.74,81.74,81.74,81.74,81.74,81.74,81.74,81.74,81.74,81.74,81.74,81.74,82.84,82.84,84.14,84.14,84.14,84.14,84.14,84.14,84.14,84.14,84.42,85.22,85.22,85.22,86.42,86.54,86.54,86.54,86.54,87.18,87.54,87.54,87.54,87.54,87.54,87.54,87.54,87.54,87.54,87.54,87.54,87.54,87.54,87.54,87.54,87.54,87.54,87.54,87.54,87.54,87.54,87.54,87.54,87.54,87.82,88.18,88.18,88.9,88.9,94.52,94.52,94.52,94.52,96.02,96.82,96.82,96.82,96.82,96.82,96.82,96.82,96.82,96.82,96.82,97.42,97.42,97.42,103.82,103.82,103.82,103.82,103.82,103.82,103.82,103.82,103.82,103.82,103.82,103.82,103.82,103.82,103.82,103.82,103.82,103.82,103.82,103.82,103.82,103.82,103.82,103.82,103.82,103.82,103.82,103.82,108.62,108.62,109.42,109.62,109.62,109.62,112.12,120.02,120.02,120.02,120.02,131.82
4,10,ALL-PRO RANDY MEN,0,3.8,4.8,5.1,5.1,5.1,5.3,5.3,5.1,5.1,5.1,5.1,7.9,17.7,17.7,17.7,17.7,17.7,17.7,17.7,17.7,17.7,17.6,17.6,18.2,18.2,18.8,18.8,18.8,25.0,25.0,25.0,25.0,25.0,25.0,25.9,25.8,25.8,26.4,27.1,27.1,27.1,27.1,27.1,27.1,27.1,27.1,27.1,27.1,27.1,27.1,27.1,27.1,27.1,27.1,27.1,27.1,27.8,27.8,27.8,27.7,27.7,27.7,27.7,27.7,27.7,27.7,27.7,27.7,27.7,27.7,29.3,29.3,29.3,29.3,29.3,29.3,29.3,31.8,33.4,33.9,36.6,37.2,38.1,38.1,38.1,38.1,38.1,38.1,38.1,38.1,38.1,38.1,38.1,38.1,38.1,38.1,38.1,38.1,38.1,40.0,41.4,41.4,41.4,41.4,41.4,41.4,41.4,42.1,42.6,42.6,42.6,42.6,42.6,42.6,42.6,42.6,42.6,42.9,42.9,42.9,44.2,44.2,44.2,44.2,44.2,47.0,46.7,46.7,46.7,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,56.3,56.3,56.3,56.3,56.3,56.3,56.3,56.3,56.3,56.3,56.3,66.3,66.3,66.3,66.5,66.5,66.5,67.34,67.62,67.62,67.62,67.62,67.62,67.62,67.62,67.62,67.62,68.26,68.42,68.74,68.74,68.74,68.74,68.74,69.22,75.62,75.62,75.62,75.62,75.62,75.62,75.62,75.62,75.62,75.62,74.1,72.1,72.1,72.1,72.1,77.02,77.02,77.02,77.02,77.02,77.02,77.02,77.02,75.02,75.02,75.02,75.02,75.02,75.02,75.02,75.3,75.3,75.3,74.3,74.3,74.3,74.3,74.3,74.3,75.06,75.46,75.46,75.46,75.46,75.46,75.46,75.46,75.46,75.46,75.46,75.46,75.46,76.46,76.46,76.46,76.46,76.46,76.46,76.46,76.46,78.86,78.86,78.86,79.56,79.56,80.56,80.56,80.56,86.28,86.28,86.28,86.28,86.28,86.28,86.28,86.28,86.28,86.72,86.72,86.72,86.72,86.52,86.52,86.52,86.52,86.52,86.52,86.52,86.52,86.52,86.52,86.52,86.52,86.52,86.52,86.52,86.52,86.52,86.52,86.52,86.52,86.52,86.52,86.52,86.52,86.52,86.52,86.52,86.52,86.52,86.52,86.52,86.52,86.52,86.52,86.52,86.52,86.52,86.52,86.52,86.52,86.52,86.52,86.52,86.52,90.52
5,11,Saquon Broccoli BrussellSprouts,0,13.1,13.1,14.7,14.7,13.7,13.7,13.7,13.7,13.7,13.7,13.7,13.7,13.7,13.7,13.7,15.4,15.4,15.7,15.7,16.7,16.7,16.7,16.7,16.7,16.7,16.7,16.7,16.7,16.7,16.7,16.7,16.7,16.7,16.7,16.7,16.7,16.7,16.7,18.4,18.4,18.4,19.4,19.4,16.4,16.4,16.4,16.4,16.4,16.4,16.4,16.4,16.4,16.4,16.4,16.4,16.4,16.4,16.4,16.4,16.4,22.4,22.4,24.5,24.6,24.6,24.6,25.3,25.4,25.4,25.4,25.9,25.9,24.9,24.9,24.9,24.9,24.9,24.9,25.1,24.9,24.9,25.1,25.1,25.5,29.7,29.7,29.7,30.1,30.0,30.0,31.2,31.1,31.1,31.1,31.1,31.1,31.1,31.1,31.1,29.1,29.1,29.1,29.1,29.1,30.1,30.1,30.6,30.5,30.5,32.9,39.3,39.3,39.3,39.3,51.2,51.2,51.2,51.2,51.2,51.2,51.2,51.2,51.2,51.2,51.2,51.2,51.2,51.2,51.2,51.2,51.2,51.2,51.2,51.2,51.6,51.6,51.6,61.6,61.6,61.6,61.6,61.6,61.6,61.6,61.6,62.6,66.2,67.6,67.8,70.1,76.7,76.7,76.7,76.7,76.7,76.82,76.82,76.82,76.82,76.82,76.82,76.82,76.82,76.82,76.94,76.94,76.94,76.94,78.14,78.14,81.24,81.24,81.24,81.24,81.24,82.44,82.44,82.44,82.44,82.44,82.44,82.44,82.44,82.44,82.44,82.44,83.94,83.94,83.94,83.94,83.94,83.94,83.94,84.02,84.02,84.02,84.02,84.02,84.02,84.02,84.02,84.02,85.14,85.14,85.14,86.26,86.26,86.26,90.74,90.74,90.74,94.74,96.04,96.04,96.04,96.04,96.04,96.04,96.04,96.04,96.04,96.04,96.04,96.04,96.04,96.04,96.04,96.04,96.04,96.04,96.04,96.04,96.04,96.04,96.04,96.04,96.04,97.24,97.28,97.28,97.28,97.28,97.28,97.28,97.28,97.28,97.28,97.28,97.28,97.28,98.04,98.04,98.4,98.48,106.08,106.08,106.08,106.08,133.16,133.16,133.16,133.16,140.46,140.46,140.26,140.26,140.26,140.26,140.26,140.26,140.26,140.26,140.26,140.26,140.26,140.26,140.26,140.26,140.26,140.26,140.26,140.26,140.26,140.26,140.26,140.26,140.26,140.26,140.26,140.26,140.26,140.26,140.26,140.26,140.26,140.26,140.26,140.26,140.26,140.26,140.26,140.26,140.26,140.26,140.26,140.26,140.26,140.26,140.26,140.26,140.26,140.26,140.26,140.26,140.26,140.26
